Australian Business Number (ABN),Legal entity,Legal entity postcode,Legal entity LGA,Service provider,Funding agency,Funding source,Funding title,Program title,Funding type,Funding terms,Funding agreement start,Funding agreement end,Funding agreement duration,Category,Tag 1,Tag 2,Client group,Purpose,Statewide,Service delivery LGA,Service delivery postcode,Longitude,Latitude,Total funding under this agreement,Previous financial year,Co-contribution,Website
92564634310,Halifax State School  ,,HALIFAX,Halifax Primary Parents and Citizens Association,DJAG,State,Gambling Community Benefit Fund - Round 75,,Grant,Operational,19/06/2013,24/06/2014,12 months,Community support,,,,INSTALL JUNIOR PLAYGROUND,No,Hinchinbrook Shire,,,,12821,12821,,http://www.olgr.grants.qld.gov.au/
24290176179,Hinchinbrook Community Support Centre Inc,,INGHAM,,DJAG,State,Gambling Community Benefit Fund - ROUND 75,,Grant,Operational,8/04/2013,17/04/2014,12 months,Community support,,,,PURCHASE BUS,No,Hinchinbrook Shire,,,,12948,12948,,http://www.olgr.grants.qld.gov.au/
21237791263,Ingham Meals On Wheels Inc  ,,INGHAM,,DJAG,State,Gambling Community Benefit Fund - Round 75,,Grant,Operational,19/06/2013,24/06/2014,12 months,Community support,,,,INSTALL SOLAR SYSTEM,No,Hinchinbrook Shire,,,,12097,12097,,http://www.olgr.grants.qld.gov.au/
96404781130,Ingham Squash Rackets Association Incorporated,,INGHAM,,DJAG,State,Gambling Community Benefit Fund - Round 75,,Grant,Operational,19/06/2013,24/06/2014,12 months,Community support,,,,PURCHASE TRAINING AND SAFETY EQUIPMENT,No,Hinchinbrook Shire,,,,13500,13500,,http://www.olgr.grants.qld.gov.au/
12872008867,Lower Herbert Halifax Lions Club Senior Citizens Village Organisation,,MACKNADE,,DJAG,State,Gambling Community Benefit Fund - Round 75,,Grant,Operational,19/06/2013,24/06/2014,12 months,Community support,,,,INSTALL GENERATOR,No,Hinchinbrook Shire,,,,19780,19780,,http://www.olgr.grants.qld.gov.au/
19823962345,Department Of Community Safety  ,,KEDRON,Mount Fox Rural Fire Brigade  ,DJAG,State,Gambling Community Benefit Fund - ROUND 75,,Grant,Operational,8/04/2013,17/04/2014,12 months,Community support,,,,REPLACE FIRE TRUCK,No,Hinchinbrook Shire,,,,10529,10529,,http://www.olgr.grants.qld.gov.au/
67075711198,Balkanu Cape York Development Corporation Pty Ltd,,CAIRNS NORTH,Coral's Retreat Aboriginal Corporation  ,DJAG,State,Gambling Community Benefit Fund - Round 73,,Grant,Operational,23/09/2012,2/10/2013,12 months,Community support,,,,REFIT BOAT FOR EDUCATIONAL PROGRAM,No,Hope Vale Aboriginal Shire,,,,6782,6782,,http://www.olgr.grants.qld.gov.au/
46485582013,Hopevale Aboriginal Shire Council (sponsoring Hopevale CJG),,HOPEVALE,,DJAG,State,Community Justice Groups,,Grant,Operational,1/07/2012,30/06/2013,12 months,"Your rights, crime and the law",,,,To provide funding for services and support to reduce Indigenous contact with the criminal justice system and support victims of crime,No,Hope Vale Aboriginal Shire,,,,24500,24500,,
65782448950,Hinchinbrook and Tully Local Justice Aboriginal and Torres Strait Islanders Corp,,INGHAM,,DJAG,State,Community Justice Groups,,Grant,Operational,1/07/2012,30/06/2013,12 months,"Your rights, crime and the law",,,,To provide funding for services and support to reduce Indigenous contact with the criminal justice system and support victims of crime,No,Hinchinbrook Shire,,,,92500,92500,,
67163934352,FIVE BRIDGES LTD (sponsoring Ipswich Community Justice Group),,MAROOCHYDORE,,DJAG,State,Community Justice Groups,,Grant,Operational,1/07/2012,30/06/2013,12 months,"Your rights, crime and the law",,,,To provide funding for services and support to reduce Indigenous contact with the criminal justice system and support victims of crime,No,Ipswich City,,,,144000,0,,
28108977313,CHILDREN OF THE DREAMING CENTRE FOR SELF HEALING(sponsoring Ipswich Community Justice Group),,BUNDAMBA,,DJAG,State,Community Justice Groups,,Grant,Operational,1/07/2012,30/09/2012,3 months,"Your rights, crime and the law",,,,To provide funding for services and support to reduce Indigenous contact with the criminal justice system and support victims of crime,No,Ipswich City,,,,,36000,,
37128614540,JOHN PEARSON CONSULTING PTY LTD (sponsoring  Ipswich Community Justice Group),,MAROOCHYDORE,,DJAG,State,Community Justice Groups,,Grant,Operational,1/03/2013,30/09/2013,7 months,"Your rights, crime and the law",,,,To provide funding for services and support to reduce Indigenous contact with the criminal justice system and support victims of crime,No,Ipswich City,,,,,40000,,
90302132669,Ipswich Yupi Program Inc,,IPSWICH,,DJAG,State,Gambling Community Benefit Fund - Round 72,,Grant,Operational,23/09/2012,2/10/2013,12 months,Community support ,,,,Purchase 4WD and Passenger Vehicle,No,Ipswich City,,,,13310,13310,,http://www.olgr.grants.qld.gov.au/
77020814044,Queensland Horse Council Incorporated,,PURGA,,DJAG,State,Gambling Community Benefit Fund - Round 72,,Grant,Operational,23/09/2012,2/10/2013,12 months,Community support ,,,,Purchase Training and Safety Equipment,No,Ipswich City,,,,33926,33926,,http://www.olgr.grants.qld.gov.au/
19025972922,Rosewood Branch Little Athletics,,ROSEWOOD,,DJAG,State,Gambling Community Benefit Fund - Round 72,,Grant,Operational,23/09/2012,2/10/2013,12 months,Community support ,,,,Purchase High Jump Mats,No,Ipswich City,,,,31818,31818,,http://www.olgr.grants.qld.gov.au/
98150631288,Ipswich And District Lapidary Club Inc  ,,BLACKSTONE,,DJAG,State,Gambling Community Benefit Fund - Round 73,,Grant,Operational,23/09/2012,2/10/2013,12 months,Community support,,,,PURCHASE GEM EQUIPMENT,No,Ipswich City,,,,19502,19502,,http://www.olgr.grants.qld.gov.au/
49991006857,The Corporation Of The Trustees Of The Roman Catholic Archdiocese Of Brisbane,,BRISBANE CITY,Sacred Heart Primary School Parents and Friends Association - Booval,DJAG,State,Gambling Community Benefit Fund - Round 73,,Grant,Operational,23/09/2012,2/10/2013,12 months,Community support,,,,REPLACE SOFTFALL,No,Ipswich City,,,,12432,12432,,http://www.olgr.grants.qld.gov.au/
84451960087,Bindarra Childrens Day Care Centre  ,,BOOVAL,,DJAG,State,Gambling Community Benefit Fund - Round 73,,Grant,Operational,23/09/2012,2/10/2013,12 months,Community support,,,,RESURFACE PLAYGROUND,No,Ipswich City,,,,31818,31818,,http://www.olgr.grants.qld.gov.au/
56073757396,Goodna Springfield Combined Probus Club Inc,,CAMIRA,,DJAG,State,Gambling Community Benefit Fund - Round 73,,Grant,Operational,23/09/2012,2/10/2013,12 months,Community support,,,,Purchase Equipment for Presentations,No,Ipswich City,,,,18295,18295,,http://www.olgr.grants.qld.gov.au/
13528387275,Ipswich Cycling Club Incorporated  ,,EASTERN HEIGHTS,,DJAG,State,Gambling Community Benefit Fund - Round 73,,Grant,Operational,23/09/2012,2/10/2013,12 months,Community support,,,,PURCHASE ROADBIKES HELMETS AND CHARGERS,No,Ipswich City,,,,31818,31818,,http://www.olgr.grants.qld.gov.au/
61028995366,The Young Men's Christian Association Of Brisbane,,FORTITUDE VALLEY,YMCA Westside Outside School Hours Care  ,DJAG,State,Gambling Community Benefit Fund - Round 73,,Grant,Operational,23/09/2012,2/10/2013,12 months,Community support,,,,PURCHASE FURNITURE AND RESOURCES,No,Ipswich City,,,,34950,34950,,http://www.olgr.grants.qld.gov.au/
61188499616,Ipswich Bowls Club Inc  ,,IPSWICH,,DJAG,State,Gambling Community Benefit Fund - Round 73,,Grant,Operational,23/09/2012,2/10/2013,12 months,Community support,,,,Upgrade Kitchen,No,Ipswich City,,,,31682,31682,,http://www.olgr.grants.qld.gov.au/
